"gene","cell","garp_score","p_value"
"APAF1","MDA-MB-468","-0.172458","0.313"
"APAF1","SK-BR-3","-0.6115859","0.12"
"APAF1","SW527","-0.2040273","0.263"
"APAF1","T-47D","-0.3160758","0.316"
"APAF1","ZR-75-1","-0.5514699","0.11"
"APAF1","609050M","-0.302669","0.231"
"APAF1","A2780","-0.01236633","0.706"
"APAF1","A2780_CIS","-0.1892601","0.237"
"APAF1","MM_OVCAR432_Bast_1","-0.8288056","0.272"
"APAF1","OV-1946","-0.3205908","0.678"
"APAF1","OV-90","-0.2708724","0.237"
"APAF1","OVCA1369_TR","-0.7982988","0.558"
"APAF1","OVCA433_Bast","-0.8608768","0.26"
"APAF1","OVCA5","-0.3324013","0.196"
"APAF1","OVCA8","-0.2367767","0.486"
"APAF1","OVCAR-3","-0.8409296","0.198"
"APAF1","SK-OV-3","-0.2769874","0.058"
"APAF1","TOV-1946","-0.2842935","0.62"
"APAF1","TOV-2223G","-0.1392341","0.532"
"APAF1","TOV-3133G","-0.1152031","0.483"
"APAF1","AsPC-1","-0.1786815","0.384"
"APAF1","BxPC-3","-0.2853961","0.451"
"APAF1","CFPAC-1","-0.05175173","0.663"
"APAF1","Capan-2","-0.05247279","0.628"
"APAF1","HPAC","-0.07828537","0.482"
"APAF1","HPAF-II","-0.3204267","0.141"
"APAF1","HPDE","-0.8969496","0.786"
"APAF1","Hs 766T","-1.100055","0.092"
"APAF1","IMIM-PC-1","-0.2675405","0.092"
"APAF1","IMIM-PC-2","-0.1396689","0.208"
"APAF1","KP-3","-0.3201464","0.147"
"APAF1","KP-4","-0.053226","0.691"
"APAF1","MIA PaCa-2","-0.1449685","0.202"
"APAF1","PANC-1","-0.2808058","0.061"
"APAF1","PL45","-0.1085529","0.763"
"APAF1","PaTu_8988S","-0.1267799","0.28"
"APAF1","PaTu_8988T","-0.2066642","0.135"
"APAF1","Panc 02.03","-0.4704665","0.099"
"APAF1","Panc 03.27","-0.169571","0.272"
"APAF1","Panc 04.03","-0.2247797","0.351"
"APAF1","Panc 05.04","-0.3893676","0.273"
"APAF1","Panc 08.13","-0.1637111","0.306"
"APAF1","Panc 10.05","-0.1166961","0.55"
"APAF1","RWP-1","-0.1319512","0.483"
"APAF1","SK-PC-1","-0.1937471","0.306"
"APAF1","SK-PC-3","-0.3981567","0.474"
"APAF1","SU.86.86","-0.1701948","0.222"
"APAF1","SW1990","-0.2545647","0.237"
"AVEN","BT-20","-0.04329795","0.891"
"AVEN","BT-474","-0.08242505","0.789"
"AVEN","BT-549","-0.09680878","0.889"
"AVEN","CAL-51","-0.08876112","0.774"
"AVEN","CAMA-1","-0.2790176","0.501"
"AVEN","EFM-19","-0.06179744","0.749"
"AVEN","HCC1143","-0.1885706","0.753"
"AVEN","HCC1187","-0.200365","0.644"
"AVEN","HCC1395","-0.3385338","0.381"
"AVEN","HCC1419","-0.1161912","0.685"
"AVEN","HCC1428","-0.2039198","0.749"
"AVEN","HCC1500","-0.267654","0.299"
"AVEN","HCC1806","-0.01115258","0.985"
"AVEN","HCC1937","-0.05579333","0.72"
"AVEN","HCC1954","-0.1676672","0.443"
"AVEN","HCC38","-0.03111617","0.951"
"AVEN","Hs 578T","-0.03606847","0.725"
"AVEN","KPL-1","-0.04709195","0.846"
"AVEN","MCF7","-0.01914293","0.766"
"AVEN","MDA-MB-157","-0.2740232","0.229"
"AVEN","MDA-MB-231","-0.05176651","0.798"
"AVEN","MDA-MB-361","-0.103897","0.739"
"AVEN","MDA-MB-436","-0.1128348","0.898"
"AVEN","MDA-MB-453","-0.006394588","0.631"
"AVEN","MDA-MB-468","-0.03236509","0.819"
"AVEN","SK-BR-3","-0.2435908","0.581"
"AVEN","SW527","-0.03343331","0.875"
"AVEN","T-47D","-0.1736003","0.626"
"AVEN","ZR-75-1","-0.09939204","0.882"
"AVEN","609050M","-0.1223154","0.685"
"AVEN","A2780","0.01340951","0.812"
"AVEN","A2780_CIS","-0.02011336","0.815"
"AVEN","MM_OVCAR432_Bast_1","-0.4934158","0.61"
"AVEN","OV-1946","-0.2406794","0.803"
"AVEN","OV-90","-0.02200404","0.921"
"AVEN","OVCA1369_TR","-0.3491014","0.835"
"AVEN","OVCA433_Bast","-0.9908335","0.175"
"AVEN","OVCA5","-0.08079897","0.775"
"AVEN","OVCA8","-0.06389654","0.877"
"AVEN","OVCAR-3","-0.2955119","0.64"
"AVEN","SK-OV-3","-0.07771674","0.478"
"AVEN","TOV-1946","-0.1049137","0.899"
"AVEN","TOV-2223G","-0.1908436","0.419"
"AVEN","TOV-3133G","-0.04745314","0.743"
"AVEN","AsPC-1","-0.1124652","0.588"
"AVEN","BxPC-3","-0.154795","0.722"
"AVEN","CFPAC-1","-0.03888658","0.755"
"AVEN","Capan-2","-0.05138053","0.636"
"AVEN","HPAC","-0.04605992","0.697"
"AVEN","HPAF-II","-0.08986092","0.752"
"AVEN","HPDE","-1.278717","0.669"
"AVEN","Hs 766T","-0.7446054","0.422"
"AVEN","IMIM-PC-1","-0.06608994","0.828"
"AVEN","IMIM-PC-2","0.00940661","0.978"
"AVEN","KP-3","-0.09255671","0.757"
"AVEN","KP-4","-0.024512","0.886"
"AVEN","MIA PaCa-2","-0.05501404","0.639"
"AVEN","PANC-1","-0.05731018","0.813"
"AVEN","PL45","-0.1289276","0.687"
"AVEN","PaTu_8988S","-0.05560547","0.607"
"AVEN","PaTu_8988T","-0.07503395","0.663"
"AVEN","Panc 02.03","-0.1914324","0.655"
"AVEN","Panc 03.27","-0.05797492","0.715"
"AVEN","Panc 04.03","-0.09225349","0.8"
"AVEN","Panc 05.04","-0.1351384","0.862"
"AVEN","Panc 08.13","-0.06911721","0.706"
"AVEN","Panc 10.05","-0.1313037","0.5"
"AVEN","RWP-1","-0.03590449","0.78"
"AVEN","SK-PC-1","-0.193936","0.306"
"AVEN","SK-PC-3","-0.2234501","0.814"
"AVEN","SU.86.86","-0.1301973","0.32"
"AVEN","SW1990","-0.1054731","0.757"
"BAD","BT-20","-0.2229663","0.475"
"BAD","BT-474","-0.2263381","0.407"
"BAD","BT-549","-0.1445527","0.78"
"BAD","CAL-51","-0.09415383","0.749"
"BAD","CAMA-1","-0.3591367","0.358"
"BAD","EFM-19","-0.1213083","0.546"
"BAD","HCC1143","-0.4785794","0.349"
"BAD","HCC1187","-0.3269587","0.369"
"BAD","HCC1395","-0.0695576","0.918"
"BAD","HCC1419","-0.07441092","0.81"
"BAD","HCC1428","-0.1890337","0.777"
"BAD","HCC1500","-0.1401984","0.605"
"BAD","HCC1806","-0.03287026","0.97"
"BAD","HCC1937","-0.2449686","0.268"
"BAD","HCC1954","-0.04048422","0.891"
"BAD","HCC38","-0.1328852","0.757"
"BAD","Hs 578T","-0.09943841","0.374"
"BAD","KPL-1","-0.03483757","0.913"
"BAD","MCF7","-0.04051856","0.613"
"BAD","MDA-MB-157","0.004934154","0.976"
"BAD","MDA-MB-231","0.07650239","0.99"
"BAD","MDA-MB-361","-0.1245945","0.685"
"BAD","MDA-MB-436","-0.1388867","0.829"
"BAD","MDA-MB-453","0.02875652","0.94"
"BAD","MDA-MB-468","-0.05086541","0.727"
"BAD","SK-BR-3","-0.07700074","0.901"
"BAD","SW527","-0.07038552","0.707"
"BAD","T-47D","-0.1958386","0.587"
"BAD","ZR-75-1","-0.01988777","0.982"
"BAD","609050M","-0.07217471","0.864"
"BAD","A2780","0.1136632","0.997"
"BAD","A2780_CIS","-0.03278516","0.765"
"BAD","MM_OVCAR432_Bast_1","-1.18681","0.08"
"BAD","OV-1946","-0.136511","0.932"
"BAD","OV-90","0.01633027","0.987"
"BAD","OVCA1369_TR","-1.8784","0.212"
"BAD","OVCA433_Bast","-0.1679083","0.945"
"BAD","OVCA5","-0.1539362","0.519"
"BAD","OVCA8","-0.2368265","0.486"
"BAD","OVCAR-3","-0.07564531","0.901"
"BAD","SK-OV-3","-0.0683582","0.53"
"BAD","TOV-1946","0.003518907","0.992"
"BAD","TOV-2223G","0.04686755","0.955"
"BAD","TOV-3133G","-0.1084391","0.507"
"BAD","AsPC-1","-0.05025729","0.839"
"BAD","BxPC-3","-0.166975","0.688"
"BAD","CFPAC-1","-0.1205802","0.264"
"BAD","Capan-2","-0.05895812","0.582"
"BAD","HPAC","-0.04821662","0.683"
"BAD","HPAF-II","-0.08767302","0.759"
"BAD","HPDE","0.249634","0.986"
"BAD","Hs 766T","-0.5354692","0.701"
"BAD","IMIM-PC-1","-0.02475433","0.99"
"BAD","IMIM-PC-2","-0.08380949","0.46"
"BAD","KP-3","0.0004541349","0.982"
"BAD","KP-4","0.002632085","0.987"
"BAD","MIA PaCa-2","0.003577168","0.979"
"BAD","PANC-1","-0.08353487","0.657"
"BAD","PL45","-0.132679","0.677"
"BAD","PaTu_8988S","-0.02895875","0.789"
"BAD","PaTu_8988T","-0.02256588","0.977"
"BAD","Panc 02.03","-0.1416565","0.832"
"BAD","Panc 03.27","-0.02715986","0.879"
"BAD","Panc 04.03","-0.0687731","0.859"
"BAD","Panc 05.04","-0.1463335","0.833"
"BAD","Panc 08.13","0.009741843","0.986"
"BAD","Panc 10.05","-0.1184924","0.547"
"BAD","RWP-1","0.1241521","1"
"BAD","SK-PC-1","-0.002813561","0.997"
"BAD","SK-PC-3","-0.06752929","0.994"
"BAD","SU.86.86","-0.03090055","0.715"
"BAD","SW1990","-0.2974452","0.151"
"BAK1","BT-20","-0.0315394","0.905"
"BAK1","BT-474","-0.007098926","0.976"
"BAK1","BT-549","-0.1264503","0.827"
"BAK1","CAL-51","-0.06154728","0.905"
"BAK1","CAMA-1","-0.1621772","0.785"
"BAK1","EFM-19","-0.1065368","0.587"
"BAK1","HCC1143","-0.1094618","0.847"
"BAK1","HCC1187","-0.1488794","0.761"
"BAK1","HCC1395","0.02405786","0.991"
"BAK1","HCC1419","-0.09742622","0.744"
"BAK1","HCC1428","-0.08404689","0.912"
"BAK1","HCC1500","-0.03053679","0.929"
"BAK1","HCC1806","-0.07601136","0.938"
"BAK1","HCC1937","-0.01566861","0.846"
"BAK1","HCC1954","-0.001458046","0.986"
"BAK1","HCC38","0.03027501","0.993"
"BAK1","Hs 578T","0.06127095","0.993"
"BAK1","KPL-1","-0.04343048","0.873"
"BAK1","MCF7","-0.01488137","0.792"
"BAK1","MDA-MB-157","-0.007828746","0.962"
"BAK1","MDA-MB-231","0.05352559","0.974"
"BAK1","MDA-MB-361","-0.1284982","0.669"
"BAK1","MDA-MB-436","-0.1235676","0.865"
"BAK1","MDA-MB-453","0.0117381","0.815"
"BAK1","MDA-MB-468","-0.02237136","0.873"
"BAK1","SK-BR-3","-0.1083771","0.843"
"BAK1","SW527","-0.07355285","0.693"
"BAK1","T-47D","-0.08653226","0.863"
"BAK1","ZR-75-1","-0.08514261","0.907"
"BAK1","609050M","-0.1349354","0.64"
"BAK1","A2780","0.04063138","0.906"
"BAK1","A2780_CIS","0.003942998","0.9"
"BAK1","MM_OVCAR432_Bast_1","-1.09732","0.118"
"BAK1","OV-1946","-0.1085107","0.953"
"BAK1","OV-90","0.02296252","0.987"
"BAK1","OVCA1369_TR","-0.7001165","0.617"
"BAK1","OVCA433_Bast","-0.0747472","0.984"
"BAK1","OVCA5","-0.04102505","0.898"
"BAK1","OVCA8","-0.156206","0.653"
"BAK1","OVCAR-3","-0.01921427","0.955"
"BAK1","SK-OV-3","0.0150546","0.94"
"BAK1","TOV-1946","-0.1742241","0.812"
"BAK1","TOV-2223G","0.01554227","0.898"
"BAK1","TOV-3133G","-0.07873983","0.617"
"BAK1","AsPC-1","-0.04750815","0.844"
"BAK1","BxPC-3","-0.02012663","0.986"
"BAK1","CFPAC-1","-0.003800405","0.951"
"BAK1","Capan-2","-0.008201024","0.882"
"BAK1","HPAC","0.007119394","0.979"
"BAK1","HPAF-II","-0.07055603","0.827"
"BAK1","HPDE","-1.292635","0.666"
"BAK1","Hs 766T","-0.3632651","0.891"
"BAK1","IMIM-PC-1","-0.02339691","0.99"
"BAK1","IMIM-PC-2","-0.02491648","0.832"
"BAK1","KP-3","-0.103709","0.712"
"BAK1","KP-4","0.007888773","0.995"
"BAK1","MIA PaCa-2","0.03007139","1"
"BAK1","PANC-1","-0.02715423","0.95"
"BAK1","PL45","-0.03350471","0.963"
"BAK1","PaTu_8988S","-0.01301001","0.872"
"BAK1","PaTu_8988T","-0.01632524","0.988"
"BAK1","Panc 02.03","-0.1034928","0.919"
"BAK1","Panc 03.27","0.01189826","0.991"
"BAK1","Panc 04.03","-0.0380617","0.934"
"BAK1","Panc 05.04","-0.2590514","0.58"
"BAK1","Panc 08.13","-0.0076487","0.957"
"BAK1","Panc 10.05","0.01336695","0.957"
"BAK1","RWP-1","-0.007720949","0.875"
"BAK1","SK-PC-1","-0.002848247","0.997"
"BAK1","SK-PC-3","-0.1983714","0.863"
"BAK1","SU.86.86","0.04299851","0.983"
"BAK1","SW1990","-0.04584327","0.934"
"BAX","BT-20","-0.2228607","0.475"
"BAX","BT-474","-0.06667033","0.841"
"BAX","BT-549","-0.1966421","0.659"
"BAX","CAL-51","-0.2293161","0.184"
"BAX","CAMA-1","-0.3338875","0.402"
"BAX","EFM-19","-0.3437854","0.081"
"BAX","HCC1143","-0.4955906","0.327"
"BAX","HCC1187","-0.499524","0.16"
"BAX","HCC1395","-0.1042886","0.858"
"BAX","HCC1419","-0.06396805","0.848"
"BAX","HCC1428","-0.5720716","0.357"
"BAX","HCC1500","-0.1937327","0.466"
"BAX","HCC1806","-0.08896819","0.929"
"BAX","HCC1937","-0.3560053","0.129"
"BAX","HCC1954","-0.09661652","0.7"
"BAX","HCC38","-0.3611675","0.266"
"BAX","Hs 578T","-0.002505447","0.879"
"BAX","KPL-1","-0.06289829","0.736"
"BAX","MCF7","-0.1168658","0.202"
"BAX","MDA-MB-157","-0.06689968","0.798"
"BAX","MDA-MB-231","-0.06192293","0.777"
"BAX","MDA-MB-361","-0.3353449","0.222"
"BAX","MDA-MB-436","-0.3078598","0.392"
